Scenario,Algorithm,Run,Seed,Penalty,Feasible,Z3_Verified,Collision_Count,Deadline_Violations,Total_Deadline_Lateness,Total_Latency,Max_Latency,Train_Time,Inference_or_Search_Time
Small,GA,1,11,0,True,True,0,0,0,15,7,-,0.07812309265136719
Small,GA_Repair,1,11,10,False,False,0,1,1,15,7,-,0.08510136604309082
Small,RL_PPO,1,11,0,True,True,0,0,0,15,7,18.736826181411743,0.0034232139587402344
Small,RL_PPO_Repair,1,11,0,True,True,0,0,0,15,7,29.896651029586792,0.0042877197265625
Small,SA,1,11,0,True,True,0,0,0,15,7,-,0.012601375579833984
Small,SA_Repair,1,11,0,True,True,0,0,0,15,7,-,0.009164094924926758
Small,Z3_Only,1,11,0,True,True,0,0,0,15,7,-,0.0043184757232666016
Small,GA,2,22,0,True,True,0,0,0,15,7,-,0.09859085083007812
Small,GA_Repair,2,22,0,True,True,0,0,0,15,7,-,0.0718226432800293
Small,RL_PPO,2,22,0,True,True,0,0,0,15,7,25.77908730506897,0.005846261978149414
Small,RL_PPO_Repair,2,22,0,True,True,0,0,0,15,7,16.41780185699463,0.0034797191619873047
Small,SA,2,22,0,True,True,0,0,0,15,7,-,0.005398988723754883
Small,SA_Repair,2,22,0,True,True,0,0,0,15,7,-,0.001013040542602539
Small,Z3_Only,2,22,0,True,True,0,0,0,15,7,-,0.004698753356933594
Small,GA,3,33,0,True,True,0,0,0,15,7,-,0.0748896598815918
Small,GA_Repair,3,33,0,True,True,0,0,0,15,7,-,0.0733644962310791
Small,RL_PPO,3,33,0,True,True,0,0,0,15,7,25.01170063018799,0.002724885940551758
Small,RL_PPO_Repair,3,33,0,True,True,0,0,0,15,7,21.26571273803711,0.0035707950592041016
Small,SA,3,33,0,True,True,0,0,0,15,7,-,0.008877038955688477
Small,SA_Repair,3,33,0,True,True,0,0,0,15,7,-,0.003624439239501953
Small,Z3_Only,3,33,0,True,True,0,0,0,15,7,-,0.003281831741333008
Small,GA,4,44,0,True,True,0,0,0,15,7,-,0.06584525108337402
Small,GA_Repair,4,44,0,True,True,0,0,0,15,7,-,0.06558442115783691
Small,RL_PPO,4,44,0,True,True,0,0,0,15,7,18.081525564193726,0.004843235015869141
Small,RL_PPO_Repair,4,44,0,True,True,0,0,0,15,7,18.784998178482056,0.0027594566345214844
Small,SA,4,44,0,True,True,0,0,0,15,7,-,0.0005729198455810547
Small,SA_Repair,4,44,0,True,True,0,0,0,15,7,-,0.007712602615356445
Small,Z3_Only,4,44,0,True,True,0,0,0,15,7,-,0.004326820373535156
Small,GA,5,55,0,True,True,0,0,0,15,7,-,0.10892224311828613
Small,GA_Repair,5,55,0,True,True,0,0,0,15,7,-,0.12393903732299805
Small,RL_PPO,5,55,0,True,True,0,0,0,15,7,20.368557929992676,0.005160331726074219
Small,RL_PPO_Repair,5,55,0,True,True,0,0,0,15,7,25.700392484664917,0.004027843475341797
Small,SA,5,55,0,True,True,0,0,0,15,7,-,0.0019466876983642578
Small,SA_Repair,5,55,0,True,True,0,0,0,15,7,-,0.004872322082519531
Small,Z3_Only,5,55,0,True,True,0,0,0,15,7,-,0.006549358367919922
Small,GA,6,66,0,True,True,0,0,0,15,7,-,0.11348414421081543
Small,GA_Repair,6,66,0,True,True,0,0,0,15,7,-,0.11699533462524414
Small,RL_PPO,6,66,0,True,True,0,0,0,15,7,18.120757579803467,0.0029861927032470703
Small,RL_PPO_Repair,6,66,0,True,True,0,0,0,15,7,17.014306783676147,0.0024268627166748047
Small,SA,6,66,0,True,True,0,0,0,15,7,-,0.003611326217651367
Small,SA_Repair,6,66,0,True,True,0,0,0,15,7,-,0.004858732223510742
Small,Z3_Only,6,66,0,True,True,0,0,0,15,7,-,0.0035238265991210938
Small,GA,7,77,0,True,True,0,0,0,15,7,-,0.06660890579223633
Small,GA_Repair,7,77,0,True,True,0,0,0,15,7,-,0.06521439552307129
Small,RL_PPO,7,77,0,True,True,0,0,0,15,7,16.452635049819946,0.0029473304748535156
Small,RL_PPO_Repair,7,77,0,True,True,0,0,0,15,7,17.900679349899292,0.0026853084564208984
Small,SA,7,77,0,True,True,0,0,0,15,7,-,0.00404047966003418
Small,SA_Repair,7,77,0,True,True,0,0,0,15,7,-,0.0013287067413330078
Small,Z3_Only,7,77,0,True,True,0,0,0,15,7,-,0.00465846061706543
Small,GA,8,88,0,True,True,0,0,0,15,7,-,0.08159089088439941
Small,GA_Repair,8,88,0,True,True,0,0,0,15,7,-,0.07458329200744629
Small,RL_PPO,8,88,0,True,True,0,0,0,15,7,17.09208917617798,0.0030803680419921875
Small,RL_PPO_Repair,8,88,0,True,True,0,0,0,15,7,17.057913780212402,0.0051212310791015625
Small,SA,8,88,0,True,True,0,0,0,15,7,-,0.020984888076782227
Small,SA_Repair,8,88,0,True,True,0,0,0,15,7,-,0.024077653884887695
Small,Z3_Only,8,88,0,True,True,0,0,0,15,7,-,0.004620552062988281
Small,GA,9,99,0,True,True,0,0,0,15,7,-,0.08153128623962402
Small,GA_Repair,9,99,0,True,True,0,0,0,15,7,-,0.07611250877380371
Small,RL_PPO,9,99,0,True,True,0,0,0,15,7,15.278392791748047,0.0023441314697265625
Small,RL_PPO_Repair,9,99,0,True,True,0,0,0,15,7,16.310519695281982,0.0027594566345214844
Small,SA,9,99,0,True,True,0,0,0,15,7,-,0.0007474422454833984
Small,SA_Repair,9,99,0,True,True,0,0,0,15,7,-,0.0074024200439453125
Small,Z3_Only,9,99,0,True,True,0,0,0,15,7,-,0.004189968109130859
Small,GA,10,111,10,False,False,0,1,1,15,7,-,0.07596230506896973
Small,GA_Repair,10,111,0,True,True,0,0,0,15,7,-,0.08179259300231934
Small,RL_PPO,10,111,0,True,True,0,0,0,15,7,17.013988494873047,0.003439664840698242
Small,RL_PPO_Repair,10,111,0,True,True,0,0,0,15,7,21.37200927734375,0.0036482810974121094
Small,SA,10,111,0,True,True,0,0,0,15,7,-,0.0023338794708251953
Small,SA_Repair,10,111,0,True,True,0,0,0,15,7,-,0.0021429061889648438
Small,Z3_Only,10,111,0,True,True,0,0,0,15,7,-,0.004575967788696289
