Scenario,Algorithm,Run,Schedule
Small,GA,1,"{'Stream_A': 1, 'Stream_B': 5, 'Stream_C': 12}"
Small,GA_Repair,1,"{'Stream_A': 7, 'Stream_B': 1, 'Stream_C': 12}"
Small,RL_PPO,1,"{'Stream_A': 2, 'Stream_B': 4, 'Stream_C': 12}"
Small,RL_PPO_Repair,1,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,SA,1,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 8}"
Small,SA_Repair,1,"{'Stream_A': 1, 'Stream_B': 5, 'Stream_C': 6}"
Small,Z3_Only,1,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 3}"
Small,GA,2,"{'Stream_A': 1, 'Stream_B': 5, 'Stream_C': 12}"
Small,GA_Repair,2,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 3}"
Small,RL_PPO,2,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,RL_PPO_Repair,2,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,SA,2,"{'Stream_A': 1, 'Stream_B': 4, 'Stream_C': 4}"
Small,SA_Repair,2,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 11}"
Small,Z3_Only,2,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 3}"
Small,GA,3,"{'Stream_A': 2, 'Stream_B': 4, 'Stream_C': 0}"
Small,GA_Repair,3,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 1}"
Small,RL_PPO,3,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,RL_PPO_Repair,3,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,SA,3,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 6}"
Small,SA_Repair,3,"{'Stream_A': 1, 'Stream_B': 3, 'Stream_C': 5}"
Small,Z3_Only,3,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,GA,4,"{'Stream_A': 3, 'Stream_B': 5, 'Stream_C': 12}"
Small,GA_Repair,4,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 10}"
Small,RL_PPO,4,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,RL_PPO_Repair,4,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 12}"
Small,SA,4,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 12}"
Small,SA_Repair,4,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 5}"
Small,Z3_Only,4,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 3}"
Small,GA,5,"{'Stream_A': 2, 'Stream_B': 5, 'Stream_C': 8}"
Small,GA_Repair,5,"{'Stream_A': 1, 'Stream_B': 5, 'Stream_C': 9}"
Small,RL_PPO,5,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,RL_PPO_Repair,5,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,SA,5,"{'Stream_A': 2, 'Stream_B': 5, 'Stream_C': 12}"
Small,SA_Repair,5,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 5}"
Small,Z3_Only,5,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,GA,6,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 4}"
Small,GA_Repair,6,"{'Stream_A': 2, 'Stream_B': 4, 'Stream_C': 6}"
Small,RL_PPO,6,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 9}"
Small,RL_PPO_Repair,6,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,SA,6,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 9}"
Small,SA_Repair,6,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 10}"
Small,Z3_Only,6,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 3}"
Small,GA,7,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 8}"
Small,GA_Repair,7,"{'Stream_A': 2, 'Stream_B': 4, 'Stream_C': 9}"
Small,RL_PPO,7,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,RL_PPO_Repair,7,"{'Stream_A': 2, 'Stream_B': 5, 'Stream_C': 9}"
Small,SA,7,"{'Stream_A': 1, 'Stream_B': 4, 'Stream_C': 6}"
Small,SA_Repair,7,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 7}"
Small,Z3_Only,7,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 3}"
Small,GA,8,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 9}"
Small,GA_Repair,8,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 2}"
Small,RL_PPO,8,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,RL_PPO_Repair,8,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,SA,8,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 10}"
Small,SA_Repair,8,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 11}"
Small,Z3_Only,8,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 3}"
Small,GA,9,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 7}"
Small,GA_Repair,9,"{'Stream_A': 2, 'Stream_B': 5, 'Stream_C': 7}"
Small,RL_PPO,9,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,RL_PPO_Repair,9,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,SA,9,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 4}"
Small,SA_Repair,9,"{'Stream_A': 3, 'Stream_B': 5, 'Stream_C': 10}"
Small,Z3_Only,9,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,GA,10,"{'Stream_A': 4, 'Stream_B': 6, 'Stream_C': 2}"
Small,GA_Repair,10,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 10}"
Small,RL_PPO,10,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,RL_PPO_Repair,10,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,SA,10,"{'Stream_A': 1, 'Stream_B': 3, 'Stream_C': 4}"
Small,SA_Repair,10,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 5}"
Small,Z3_Only,10,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Medium,GA,1,"{'Stream_A': 6, 'Stream_B': 0, 'Stream_C': 10, 'Stream_D': 5, 'Stream_E': 4}"
Medium,GA_Repair,1,"{'Stream_A': 2, 'Stream_B': 5, 'Stream_C': 8, 'Stream_D': 2, 'Stream_E': 12}"
Medium,RL_PPO,1,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 0}"
Medium,RL_PPO_Repair,1,"{'Stream_A': 3, 'Stream_B': 7, 'Stream_C': 7, 'Stream_D': 3, 'Stream_E': 1}"
