Scenario,Algorithm,Penalty_Mean,Penalty_Std,Success_Rate,Latency_Mean,MaxLatency_Mean,Runtime_Mean,Runtime_Std,TrainTime_Mean
Small,GA,1.0,3.0,0.9,15.0,7.0,0.084555,0.015894,-
Small,GA_Repair,1.0,3.0,0.9,15.0,7.0,0.083451,0.019471,-
Small,RL_PPO,0.0,0.0,1.0,15.0,7.0,0.00368,0.001115,19.193556
Small,RL_PPO_Repair,0.0,0.0,1.0,15.0,7.0,0.003477,0.000804,20.172099
Small,SA,0.0,0.0,1.0,15.0,7.0,0.006112,0.006108,-
Small,SA_Repair,0.0,0.0,1.0,15.0,7.0,0.00662,0.006385,-
Small,Z3_Only,0.0,0.0,1.0,15.0,7.0,0.004474,0.000829,-
Medium,GA,2.0,4.0,0.8,30.0,9.0,0.117372,0.033577,-
Medium,GA_Repair,6.0,8.0,0.6,30.0,9.0,0.117123,0.031042,-
Medium,RL_PPO,124.0,28.0,0.0,30.0,9.0,0.005341,0.001826,18.736456
Medium,RL_PPO_Repair,10.0,12.6491,0.6,30.0,9.0,0.005882,0.003693,18.988451
Medium,SA,0.0,0.0,1.0,30.0,9.0,0.015126,0.00844,-
Medium,SA_Repair,0.0,0.0,1.0,30.0,9.0,0.028914,0.013252,-
Medium,Z3_Only,0.0,0.0,1.0,30.0,9.0,0.010286,0.002681,-
